id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4001818257,"Ringstrasse 9,",4414 Füllinsdorf,4.0,79.0,1910,11.0,Apartment,2024,1973,1
4001818326,"Reckholderstrasse 44,",4222 Zwingen,3.5,99.0,1770,4.67,Roof flat,2022,-1,1
4001819931,"Aeussere Lange Heid 5,",4142 Münchenstein,3.0,72.0,1611,4.75,Apartment,1999,1958,0
4001820892,"Landstrasse 69,",4452 Itingen,2.5,104.0,1750,-1,Apartment,-1,-1,1
4001821965,"Reckholderstrasse 46,",4222 Zwingen,5.5,122.0,2175,5.67,Roof flat,2024,-1,1
4001821972,"Reckholderstrasse 46,",4222 Zwingen,4.5,122.0,2175,5.33,Roof flat,2024,-1,1
4001826838,,,3.5,-1,1550,-1,Apartment,-1,-1,1
4001836950,"Emil Frey-Strasse 153,",4142 Münchenstein,3.0,88.0,1960,3.25,Apartment,2024,-1,1
4001837650,"Oristalstrasse 58,",4410 Liestal,4.5,111.0,2490,6.5,Apartment,-1,2020,1
4001846424,"Aeussere Lange Heid 5,",4142 Münchenstein,3.0,70.0,1640,4.75,Apartment,1999,1958,0
4001849068,"Alemannenstr. 19,",4106 Therwil,4.0,83.0,1940,7.75,Apartment,1991,1969,0
4001851948,"Langackerstrasse 11,",4142 Münchenstein,3.5,81.0,2015,2.5,Apartment,-1,1981,1
4001864088,"Stallenmattstrasse 10,",4104 Oberwil BL,4.5,109.0,2305,8.25,Apartment,-1,1990,0
4001865623,"Im Reinacherhof 81-89a,",4153 Reinach BL,3.5,94.0,2430,4.5,Maisonette / Duplex,-1,-1,1
4001867798,,,-1,-1,-1,-1,,-1,-1,0
4001868862,"Hauptstrasse 63,",4416 Bubendorf,3.5,100.0,1940,5.25,Apartment,-1,-1,1
4001872763,"Hofackerstrasse 12,",4132 Muttenz,1.5,33.0,1260,6.0,Apartment,-1,2025,1
4001872764,"Hofackerstrasse 12,",4132 Muttenz,3.5,62.0,1900,6.0,Apartment,-1,2025,1
4001872765,"Hofackerstrasse 16,",4132 Muttenz,4.5,81.0,2410,6.0,Apartment,-1,2025,1
4001872766,"Hofackerstrasse 14,",4132 Muttenz,5.5,115.0,3290,5.75,Apartment,-1,2025,1
4001877479,"Triegismattweg 4,",4450 Sissach,3.5,90.0,2180,6.75,Apartment,-1,-1,1
4001880671,"Langenhagweg 7,",4123 Allschwil,3.5,75.0,2455,6.0,Apartment,-1,2020,1
4001882273,,,4.5,127.0,2050,-1,Apartment,2020,1999,0
4001883242,,,4.5,100.0,1800,-1,Apartment,-1,2016,1
4001887999,"Baselmattweg 34,",4123 Allschwil,3.0,103.0,2195,6.0,Maisonette / Duplex,-1,1990,1
4001888167,,,4.5,80.0,1695,-1,Apartment,2025,2024,1
4001888168,,,4.5,96.0,1795,-1,Apartment,2025,2024,0
4001888412,,,4.5,80.0,1695,-1,Apartment,2025,2024,1
4001890731,"Buendtenmattstr. 48,",4102 Binningen,4.0,90.0,2070,5.75,Apartment,-1,1950,1
4001890759,"Hardstrasse 2,",4455 Zunzgen,3.0,70.0,1530,7.5,Apartment,-1,-1,1
4001890773,"Oskar Biderstrasse 17,",4410 Liestal,3.5,92.0,1925,8.0,Apartment,2012,1959,1
4001890791,"Hofmattweg 69,",4144 Arlesheim,2.5,75.0,1950,6.0,Apartment,-1,-1,1
4001890800,"Fraumattstrasse 2,",4410 Liestal,3.5,60.0,1630,7.5,Apartment,-1,-1,1
4001890814,"Neubadrain 18,",4102 Binningen,6.0,214.0,4960,5.5,Attic flat,-1,1966,1
4001901501,"Birsmattstrasse 44,",4106 Therwil,2.0,86.0,1692,8.25,Apartment,1998,1971,0
4001906070,"Bottmingerstrasse 49,",4102 Binningen,2.5,70.0,2525,4.0,Apartment,-1,2024,1
4001907517,"Im Bruggrain 2,",4147 Aesch,3.5,131.0,3810,8.0,Apartment,-1,2024,1
4001907664,"Ergolzstrasse 60,",4414 Füllinsdorf,4.5,101.0,2344,5.75,Apartment,1993,1980,0
4001908346,"Bifangweg 18,",4441 Thürnen,4.5,100.0,1830,5.0,Apartment,-1,-1,1
4001910368,"Parkallee 10,",4123 Allschwil,4.5,94.0,2100,6.5,Apartment,2017,1985,0
4001917545,"Burgfeldermattweg 19,",4123 Allschwil,3.5,108.0,2428,5.75,Apartment,2001,1966,0
4001917552,"Käppelibodenweg 48,",4132 Muttenz,3.5,88.0,1850,3.75,Apartment,2002,1981,0
4001918958,"Zihlackerstrasse 54,",4153 Reinach BL,4.5,88.0,2095,7.25,Apartment,2022,1983,1
4001919848,"Colmarerweg 14,",4153 Reinach BL,4.5,125.0,2670,7.5,Apartment,-1,1988,1
4001921105,"Sonnenbergstr. 32,",4127 Birsfelden,3.0,62.0,1570,5.0,Apartment,2001,1970,1
4001921232,"Im Steinenmüller 2,",4142 Münchenstein,3.0,83.0,1835,5.5,Apartment,2006,-1,1
4001921522,"Käppelibodenweg 36,",4132 Muttenz,4.5,97.0,2200,4.25,Apartment,2002,1981,0
4001922711,"Baselstrasse 30,",4222 Zwingen,3.5,102.0,1590,6.5,Apartment,2000,1893,0
4001924003,"Schafmattweg 35,",4102 Binningen,2.5,68.0,1750,4.75,Apartment,2016,1931,1
4001924363,"Steinbühlweg 68,",4123 Allschwil,4.5,142.0,4405,7.25,Attic flat,-1,2020,0
4001926891,"General Guisan-Strasse 43,",4144 Arlesheim,4.5,98.0,2440,9.75,Apartment,-1,-1,1
4001931760,,,3.0,200.0,3250,-1,Apartment,2024,1995,0
4001933237,"Alemannenstrasse 5,",4106 Therwil,3.5,-1,1815,6.5,Apartment,-1,-1,1
4001933370,"Bottmingerstr. 119,",4102 Binningen,3.5,78.0,2090,5.25,Apartment,-1,1979,1
4001933371,"Bottmingerstr. 121,",4102 Binningen,3.5,78.0,2090,5.25,Apartment,-1,1979,1
4001938053,"Bettenstrasse 22,",4123 Allschwil,3.5,84.0,1890,6.0,Apartment,2001,1967,1
4001941975,"Kriegackerstrasse 91,",4132 Muttenz,3.5,102.0,2490,4.5,Apartment,2024,-1,1
